dataset,config_id,k_shot,test_acc,macro_f1,weighted_f1,kappa,roc_auc_ovr,ece,frozen_acc,frozen_macro_f1,frozen_weighted_f1,frozen_kappa,frozen_roc_auc_ovr,frozen_ece,best_val_acc_stage1,best_val_acc_stage2
resisc45,resnet50_imagenet_rgb3,10,0.0066,0.0076,0.0076,0.0068,0.0012,0.0059,0.003,0.0033,0.0033,0.0031,0.0008,0.0043,0.0085,0.0082
resisc45,resnet50_imagenet_rgb3,100,0.004,0.0041,0.0041,0.0041,0.0003,0.0042,0.0018,0.0019,0.0019,0.0018,0.0004,0.0033,0.0017,0.0031
resisc45,resnet50_imagenet_rgb3,25,0.0086,0.0092,0.0092,0.0088,0.0006,0.0062,0.0051,0.0048,0.0048,0.0052,0.0003,0.0038,0.0053,0.0068
resisc45,resnet50_imagenet_rgb3,5,0.0117,0.0109,0.0109,0.012,0.003,0.0114,0.0114,0.0112,0.0112,0.0116,0.0032,0.013,0.0165,0.0147
resisc45,resnet50_imagenet_rgb3,50,0.0036,0.0035,0.0035,0.0037,0.0004,0.0031,0.0038,0.004,0.004,0.0039,0.0001,0.0028,0.0025,0.0024
resisc45,resnet50_imagenet_rgb3,full,0.002,0.002,0.002,0.002,0.0001,0.0015,0.0037,0.0037,0.0037,0.0038,0.0,0.0023,0.002,0.0028
resisc45,resnet50_satlas-rgb_rgb3,10,0.0081,0.0079,0.0079,0.0083,0.0013,0.0089,0.0037,0.0058,0.0058,0.0038,0.0007,0.0077,0.0071,0.0102
resisc45,resnet50_satlas-rgb_rgb3,100,0.0039,0.0038,0.0038,0.004,0.0004,0.0043,0.0058,0.006,0.006,0.0059,0.0007,0.0086,0.004,0.0062
resisc45,resnet50_satlas-rgb_rgb3,25,0.0077,0.0069,0.0069,0.0079,0.0017,0.0087,0.0022,0.0042,0.0042,0.0023,0.0009,0.0019,0.0057,0.0032
resisc45,resnet50_satlas-rgb_rgb3,5,0.0171,0.0152,0.0152,0.0174,0.0054,0.0208,0.0135,0.0134,0.0134,0.0138,0.0061,0.0152,0.0173,0.0188
resisc45,resnet50_satlas-rgb_rgb3,50,0.0023,0.0023,0.0023,0.0024,0.0004,0.0032,0.0047,0.0055,0.0055,0.0048,0.001,0.0039,0.0053,0.0032
resisc45,resnet50_satlas-rgb_rgb3,full,0.0029,0.0028,0.0028,0.003,0.0002,0.0026,0.0038,0.0041,0.0041,0.0039,0.0002,0.0032,0.0021,0.004
resisc45,resnet50_scratch_rgb3,10,0.0058,0.0057,0.0057,0.006,0.0026,0.0089,0.0037,0.002,0.002,0.0038,0.0158,0.0113,0.0032,0.004
resisc45,resnet50_scratch_rgb3,100,0.0089,0.0081,0.0081,0.0091,0.0023,0.007,0.0147,0.0062,0.0062,0.015,0.0512,0.0118,0.015,0.0057
resisc45,resnet50_scratch_rgb3,25,0.0104,0.0104,0.0104,0.0106,0.0041,0.0087,0.0105,0.003,0.003,0.0108,0.0568,0.0159,0.0127,0.0064
resisc45,resnet50_scratch_rgb3,5,0.0082,0.0095,0.0095,0.0084,0.0076,0.01,0.0146,0.0055,0.0055,0.015,0.0304,0.0125,0.0164,0.011
resisc45,resnet50_scratch_rgb3,50,0.0072,0.0061,0.0061,0.0074,0.0017,0.0085,0.0092,0.004,0.004,0.0094,0.0599,0.0055,0.0103,0.0046
resisc45,resnet50_scratch_rgb3,full,0.0195,0.0204,0.0204,0.0199,0.0022,0.0057,0.0894,0.0824,0.0824,0.0915,0.1096,0.0371,0.089,0.0166
resisc45,swin_b_imagenet_rgb3,10,0.0104,0.0109,0.0109,0.0106,0.001,0.0082,0.0057,0.0063,0.0063,0.0059,0.0013,0.0155,0.0068,0.0069
resisc45,swin_b_imagenet_rgb3,100,0.0015,0.0015,0.0015,0.0016,0.0002,0.0019,0.003,0.0031,0.0031,0.0031,0.0003,0.0025,0.0024,0.0028
resisc45,swin_b_imagenet_rgb3,25,0.0046,0.0046,0.0046,0.0047,0.0004,0.0049,0.0056,0.005,0.005,0.0057,0.0004,0.0058,0.0034,0.0026
resisc45,swin_b_imagenet_rgb3,5,0.0102,0.0104,0.0104,0.0104,0.0007,0.0117,0.0083,0.009,0.009,0.0085,0.0014,0.0066,0.0124,0.0081
resisc45,swin_b_imagenet_rgb3,50,0.003,0.0028,0.0028,0.0031,0.0002,0.0037,0.0058,0.0057,0.0057,0.0059,0.0002,0.0032,0.0044,0.0043
resisc45,swin_b_imagenet_rgb3,full,0.0009,0.0009,0.0009,0.001,0.0,0.0011,0.0028,0.0028,0.0028,0.0029,0.0,0.002,0.0025,0.002
resisc45,swin_b_satlas-aerial_rgb3,10,0.0103,0.01,0.01,0.0105,0.0008,0.0056,0.012,0.0119,0.0119,0.0123,0.001,0.0118,0.0072,0.007
resisc45,swin_b_satlas-aerial_rgb3,100,0.0042,0.0041,0.0041,0.0043,0.0001,0.0044,0.0038,0.0038,0.0038,0.0038,0.0001,0.0025,0.0014,0.0036
resisc45,swin_b_satlas-aerial_rgb3,25,0.0132,0.0131,0.0131,0.0135,0.0005,0.0092,0.0047,0.0051,0.0051,0.0048,0.0006,0.008,0.0029,0.006
resisc45,swin_b_satlas-aerial_rgb3,5,0.0162,0.0171,0.0171,0.0166,0.0023,0.0167,0.0108,0.0112,0.0112,0.011,0.0019,0.0109,0.0091,0.0073
resisc45,swin_b_satlas-aerial_rgb3,50,0.0069,0.0068,0.0068,0.007,0.0002,0.006,0.0052,0.0052,0.0052,0.0053,0.0003,0.0061,0.0042,0.0034
resisc45,swin_b_satlas-aerial_rgb3,full,0.0016,0.0016,0.0016,0.0016,0.0,0.0014,0.0005,0.0005,0.0005,0.0005,0.0,0.0008,0.0016,0.0011
resisc45,swin_b_satlas-rgb_rgb3,10,0.0131,0.0126,0.0126,0.0134,0.0025,0.0128,0.0172,0.0178,0.0178,0.0176,0.0038,0.0155,0.0058,0.0068
resisc45,swin_b_satlas-rgb_rgb3,100,0.0031,0.0032,0.0032,0.0032,0.0003,0.0019,0.0052,0.0049,0.0049,0.0053,0.0005,0.0046,0.0034,0.0012
resisc45,swin_b_satlas-rgb_rgb3,25,0.0048,0.005,0.005,0.0049,0.0009,0.0062,0.0071,0.0072,0.0072,0.0073,0.0008,0.0065,0.0022,0.0058
resisc45,swin_b_satlas-rgb_rgb3,5,0.0119,0.0121,0.0121,0.0122,0.0036,0.0136,0.0094,0.0083,0.0083,0.0096,0.0048,0.0127,0.011,0.0142
resisc45,swin_b_satlas-rgb_rgb3,50,0.0018,0.0018,0.0018,0.0019,0.0005,0.0039,0.0039,0.0041,0.0041,0.004,0.0004,0.0026,0.0065,0.0055
resisc45,swin_b_satlas-rgb_rgb3,full,0.0013,0.0012,0.0012,0.0013,0.0,0.0012,0.0015,0.0015,0.0015,0.0016,0.0001,0.0026,0.0032,0.0023
resisc45,swin_b_scratch_rgb3,10,0.0164,0.0154,0.0154,0.0168,0.0041,0.0217,0.0119,0.0124,0.0124,0.0121,0.0076,0.0147,0.0092,0.0118
resisc45,swin_b_scratch_rgb3,100,0.0153,0.0162,0.0162,0.0156,0.0031,0.0059,0.0128,0.0145,0.0145,0.0131,0.004,0.0056,0.0137,0.0188
resisc45,swin_b_scratch_rgb3,25,0.0095,0.0127,0.0127,0.0097,0.0061,0.0173,0.0164,0.0163,0.0163,0.0167,0.0073,0.0048,0.0131,0.0088
resisc45,swin_b_scratch_rgb3,5,0.0104,0.0082,0.0082,0.0107,0.0087,0.0412,0.0136,0.0142,0.0142,0.0139,0.0086,0.0405,0.0093,0.0113
resisc45,swin_b_scratch_rgb3,50,0.0074,0.0096,0.0096,0.0076,0.003,0.0048,0.0163,0.0181,0.0181,0.0167,0.0049,0.0054,0.0116,0.0059
resisc45,swin_b_scratch_rgb3,full,0.0125,0.0133,0.0133,0.0128,0.0024,0.0049,0.0159,0.0169,0.0169,0.0163,0.0044,0.0028,0.011,0.0173
