dataset,config_id,k_shot,frozen_acc,test_acc,gap
resisc45,swin_b_satlas-aerial_rgb3,100,0.8837,0.9272,0.0435
resisc45,swin_b_satlas-aerial_rgb3,25,0.7903,0.8422,0.0519
resisc45,swin_b_satlas-aerial_rgb3,5,0.6396,0.6779,0.0383
resisc45,swin_b_satlas-aerial_rgb3,50,0.8419,0.8905,0.0486
resisc45,swin_b_satlas-aerial_rgb3,full,0.9388,0.9701,0.0313
resisc45,swin_b_satlas-rgb_rgb3,10,0.5268,0.6276,0.1008
resisc45,swin_b_satlas-rgb_rgb3,100,0.7601,0.8795,0.1194
resisc45,swin_b_satlas-rgb_rgb3,25,0.6319,0.7428,0.1109
resisc45,swin_b_satlas-rgb_rgb3,5,0.4403,0.5227,0.0824
resisc45,swin_b_satlas-rgb_rgb3,50,0.7041,0.8257,0.1216
resisc45,swin_b_satlas-rgb_rgb3,full,0.8473,0.9485,0.1012
resisc45,swin_b_scratch_rgb3,10,0.2379,0.2275,-0.0104
resisc45,swin_b_scratch_rgb3,100,0.3829,0.3614,-0.0215
resisc45,swin_b_scratch_rgb3,25,0.2867,0.2676,-0.0191
resisc45,swin_b_scratch_rgb3,5,0.208,0.2088,0.0008
resisc45,swin_b_scratch_rgb3,50,0.3393,0.3026,-0.0367
resisc45,swin_b_scratch_rgb3,full,0.49,0.5933,0.1033
