backbone,k_shot,satlas_ms9,satlas_rgb3,imagenet_ms9,imagenet_rgb3,effect_source,effect_spectral,interaction
resnet50,5,0.7955555555555555,0.7337037037037037,0.7685925925925925,0.7368888888888889,0.011888888888888838,0.046777777777777585,0.030148148148148146
resnet50,10,0.8477777777777777,0.8111851851851852,0.8151111111111111,0.8045925925925925,0.019629629629629664,0.023555555555555552,0.026074074074073916
resnet50,25,0.9087407407407408,0.8822962962962964,0.8915555555555554,0.8705925925925925,0.014444444444444704,0.023703703703703782,0.005481481481481532
resnet50,50,0.932,0.908148148148148,0.9259999999999999,0.9178518518518519,-0.0018518518518518823,0.016000000000000014,0.015703703703703997
resnet50,100,0.9575555555555557,0.9374814814814816,0.952962962962963,0.9464444444444444,-0.002185185185185068,0.013296296296296362,0.013555555555555543
resnet50,full,0.9914074074074074,0.9848888888888888,0.9887407407407407,0.9887407407407407,-0.000592592592592589,0.003259259259259295,0.00651851851851859
swin_b,5,0.8622962962962962,0.8274814814814814,0.821111111111111,0.820888888888889,0.02388888888888885,0.01751851851851849,0.03459259259259284
swin_b,10,0.9146666666666666,0.8814074074074074,0.8746666666666666,0.8758518518518518,0.022777777777777786,0.01603703703703696,0.03444444444444439
swin_b,25,0.9565185185185185,0.9305185185185184,0.931925925925926,0.9378518518518518,0.008629629629629543,0.010037037037037178,0.03192592592592591
swin_b,50,0.9612592592592593,0.9544444444444444,0.9514074074074074,0.9573333333333334,0.00348148148148153,0.0004444444444443585,0.01274074074074083
swin_b,100,0.9752592592592592,0.9692592592592593,0.9662222222222223,0.9717777777777779,0.003259259259259073,0.00022222222222212373,0.01155555555555543
swin_b,full,0.9908148148148148,0.989925925925926,0.9895555555555557,0.9915555555555556,-0.00018518518518528815,-0.0005555555555555314,0.0028888888888887188
