dataset,backbone,channel_mode,satlas_config,imagenet_config,k_shot,n_seeds_satlas,n_seeds_imagenet,satlas_acc,satlas_std,imagenet_acc,imagenet_std,delta,gpu_mismatch,gpus
resisc45,resnet50,rgb3,resnet50_satlas-rgb_rgb3,resnet50_imagenet_rgb3,25,5,5,0.621037037037037,0.007687231648407752,0.7942433862433862,0.008566070570441064,-0.17320634920634914,False,NVIDIA A100-SXM4-80GB
resisc45,resnet50,rgb3,resnet50_satlas-rgb_rgb3,resnet50_imagenet_rgb3,50,5,5,0.70205291005291,0.0023058101502586217,0.8473650793650794,0.0035835381610635634,-0.1453121693121694,False,NVIDIA A100-SXM4-80GB
resisc45,resnet50,rgb3,resnet50_satlas-rgb_rgb3,resnet50_imagenet_rgb3,100,5,5,0.7776507936507937,0.003912769066120353,0.8912592592592592,0.003997143516890086,-0.11360846560846549,False,NVIDIA A100-SXM4-80GB
resisc45,resnet50,rgb3,resnet50_satlas-rgb_rgb3,resnet50_imagenet_rgb3,full,5,5,0.9020952380952382,0.002888714454876843,0.9539894179894179,0.0019999720050670744,-0.05189417989417977,False,NVIDIA A100-SXM4-80GB
resisc45,swin_b,rgb3,swin_b_satlas-aerial_rgb3,swin_b_imagenet_rgb3,5,5,5,0.6778835978835979,0.016195662619859462,0.6836825396825397,0.010179212156365395,-0.0057989417989418035,False,NVIDIA A100-SXM4-80GB
resisc45,swin_b,rgb3,swin_b_satlas-aerial_rgb3,swin_b_imagenet_rgb3,10,5,5,0.7621587301587303,0.01031450235715384,0.7812063492063492,0.010369722471932432,-0.01904761904761898,False,NVIDIA A100-SXM4-80GB
resisc45,swin_b,rgb3,swin_b_satlas-aerial_rgb3,swin_b_imagenet_rgb3,25,5,5,0.8421587301587301,0.013156975946963606,0.857100529100529,0.004625682368664473,-0.014941798941798923,False,NVIDIA A100-SXM4-80GB
resisc45,swin_b,rgb3,swin_b_satlas-aerial_rgb3,swin_b_imagenet_rgb3,50,5,5,0.8904973544973546,0.00688172483250427,0.897904761904762,0.002991547679844996,-0.007407407407407418,False,NVIDIA A100-SXM4-80GB
resisc45,swin_b,rgb3,swin_b_satlas-aerial_rgb3,swin_b_imagenet_rgb3,100,5,5,0.9272380952380953,0.004159147494441468,0.9275343915343915,0.0015378541481130326,-0.000296296296296239,False,NVIDIA A100-SXM4-80GB
resisc45,swin_b,rgb3,swin_b_satlas-aerial_rgb3,swin_b_imagenet_rgb3,full,5,5,0.970074074074074,0.0016020479041503105,0.9683386243386243,0.0009297728100101344,0.0017354497354497012,False,NVIDIA A100-SXM4-80GB
resisc45,swin_b,rgb3,swin_b_satlas-rgb_rgb3,swin_b_imagenet_rgb3,5,5,5,0.5226666666666666,0.011888266055084647,0.6836825396825397,0.010179212156365395,-0.16101587301587306,False,NVIDIA A100-SXM4-80GB
resisc45,swin_b,rgb3,swin_b_satlas-rgb_rgb3,swin_b_imagenet_rgb3,10,5,5,0.6275978835978836,0.01312988309011045,0.7812063492063492,0.010369722471932432,-0.15360846560846564,False,NVIDIA A100-SXM4-80GB
resisc45,swin_b,rgb3,swin_b_satlas-rgb_rgb3,swin_b_imagenet_rgb3,25,5,5,0.7428148148148148,0.004822425521651167,0.857100529100529,0.004625682368664473,-0.11428571428571421,False,NVIDIA A100-SXM4-80GB
resisc45,swin_b,rgb3,swin_b_satlas-rgb_rgb3,swin_b_imagenet_rgb3,50,5,5,0.8256507936507937,0.0018291886083666848,0.897904761904762,0.002991547679844996,-0.07225396825396824,False,NVIDIA A100-SXM4-80GB
resisc45,swin_b,rgb3,swin_b_satlas-rgb_rgb3,swin_b_imagenet_rgb3,100,5,5,0.8794920634920634,0.0031483926809124227,0.9275343915343915,0.0015378541481130326,-0.04804232804232811,False,NVIDIA A100-SXM4-80GB
resisc45,swin_b,rgb3,swin_b_satlas-rgb_rgb3,swin_b_imagenet_rgb3,full,5,5,0.9485291005291006,0.0012821275116072742,0.9683386243386243,0.0009297728100101344,-0.01980952380952372,False,NVIDIA A100-SXM4-80GB
