dataset,config_id,k_shot,n_seeds,frozen_acc,frozen_std,finetuned_acc,finetuned_std,finetuning_gain
eurosat,resnet50_imagenet_ms9,5,5,0.750074074074074,0.03628438958143937,0.7685925925925925,0.01483424651556321,0.01851851851851849
eurosat,resnet50_imagenet_ms9,10,5,0.8265185185185185,0.008743408255861654,0.8151111111111111,0.020650265628014197,-0.011407407407407422
eurosat,resnet50_imagenet_ms9,25,5,0.8817777777777778,0.00537611442493681,0.8915555555555554,0.006826278602653318,0.009777777777777663
eurosat,resnet50_imagenet_ms9,50,5,0.9056296296296296,0.002956010361368106,0.9259999999999999,0.0030248173317178276,0.020370370370370372
eurosat,resnet50_imagenet_ms9,100,5,0.9254074074074075,0.0020720889971406666,0.952962962962963,0.0030653602513419998,0.027555555555555555
eurosat,resnet50_imagenet_ms9,full,5,0.9656296296296295,0.002085287149668065,0.9887407407407407,0.0011886523359911872,0.023111111111111193
eurosat,resnet50_imagenet_rgb3,5,5,0.7823703703703704,0.023664029297202866,0.7368888888888889,0.024276358124438843,-0.045481481481481456
eurosat,resnet50_imagenet_rgb3,10,5,0.8388888888888889,0.018134915810881634,0.8045925925925925,0.02308450510314957,-0.03429629629629638
eurosat,resnet50_imagenet_rgb3,25,5,0.8971851851851852,0.007682842123858652,0.8705925925925925,0.01762200270752073,-0.026592592592592723
eurosat,resnet50_imagenet_rgb3,50,5,0.9196296296296296,0.003749714209503043,0.9178518518518519,0.008632093115233849,-0.001777777777777656
eurosat,resnet50_imagenet_rgb3,100,5,0.9331851851851851,0.0027913249898395315,0.9464444444444444,0.004931631338038192,0.013259259259259304
eurosat,resnet50_imagenet_rgb3,full,5,0.9698518518518519,0.001067026688213946,0.9887407407407407,0.0016271024175176544,0.018888888888888844
eurosat,resnet50_satlas-ms_ms9,5,5,0.7008148148148148,0.022546096660459244,0.7955555555555555,0.033287004842100544,0.09474074074074068
eurosat,resnet50_satlas-ms_ms9,10,5,0.7598518518518518,0.008209365991736653,0.8477777777777777,0.013835700625446543,0.08792592592592596
eurosat,resnet50_satlas-ms_ms9,25,5,0.8191851851851851,0.01080250440911348,0.9087407407407408,0.006786980192778999,0.08955555555555572
eurosat,resnet50_satlas-ms_ms9,50,5,0.8485185185185186,0.008285873081924886,0.932,0.006961583787761062,0.08348148148148149
eurosat,resnet50_satlas-ms_ms9,100,5,0.8836296296296297,0.007753047102204327,0.9575555555555557,0.006195267896327791,0.07392592592592606
eurosat,resnet50_satlas-ms_ms9,full,5,0.9447407407407408,0.0016228816518672187,0.9914074074074074,0.0006085806194502527,0.046666666666666634
eurosat,resnet50_satlas-rgb_rgb3,5,5,0.7452592592592592,0.007690872505136275,0.7337037037037037,0.02047448142383002,-0.01155555555555543
